System,Model,Accuracy,Recall,Precision,F1-score,Non-depressed_F1,Macro_F1
Transcript,Linear SVM,0.5833333333333334,0.7272727272727273,0.5647058823529412,0.6357615894039735,0.5132743362831859,0.5745179628435797
eGeMAPS audio,Linear SVM,0.6363636363636364,0.6515151515151515,0.6323529411764706,0.6417910447761194,0.6307692307692307,0.636280137772675
Text + eGeMAPS feature fusion,Linear SVM,0.6439393939393939,0.6060606060606061,0.6557377049180327,0.6299212598425197,0.656934306569343,0.6434277832059314
